depa_nombre,muni_nombre,sede_nombre,direccion,telefono,email,naju_nombre,fecha_corte_REPS
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SANTA ELENA,ANTIGUO RETEN KM 16,538 02 88,coordinacionsantaelena@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD ENCISO,Carrera  29 A N° 59 - 31,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD LORETO,Carrera  28 A N° 38 F 84,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD VILLATINA,CALLE 54 N° 17 A - 09,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SOL DE ORIENTE,CALLE 17 B N° 56 EE 89,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SEDE CENTRO,CL 54 # 42-72,5742161604,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,OLGA PATRICIA ROBLEDO NOREÑA,Calle 2 SUR # 46-55 CS 218,2660789,orobledo33@hotmail.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SAN LORENZO,CALLE 41 Nº 42A - 68,2179386,coordinacionsanlorenzo@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD CARPINELO,CALLE 97 A N° 24 F 90,5285599,coordinacioncarpinelo@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SAN BLAS,CL 89 # 38 - 61,3734545,coordinacionsanblas@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD EL RAIZAL,KR 32 # 71 A - 51,2541298,coordinacionraizal@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD MORAVIA,KR 55 # 79 B - 29,2126612,coordinacionmoravia@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD ARANJUEZ,KR 50 A # 93 - 39,5117505,coordinacionaranjuez@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD VILLA DEL SOCORRO,CLL 105 # 48 73,5742581568,coordinacionvillasocorro@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD POPULAR,Carrera  43 B N° 108 - 6,2580024 - 5210105,coordinacionpopular@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTOR DE SALUD PABLO VI - EMPRESA SOCIAL DEL ESTADO METROSA,CALLE 120 N° 50-11,4611213,coordinacionpablo6@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD CIVITON,CLL 77C # 91-65,5744747156,COORDINACIONCIVITON METROSALUD.GOV.CO,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD PICACHO,KR 83 B # 97 AA 82,2675618,coordinacionpicacho@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SANTANDER,KR. 70 # 110A 21,5744747156,coordinacionsantander@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SAN CAMILO,KR 88 # 80 150,5744422222,coordinacionsancamilo@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD EL TRIUNFO,CL 104 # 87 - 95,4762801,coordinacioneltriunfo@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD ROBLEDO,CALLE 75 N 75 - 29,4370491 - 2340070,coordinacionrobledo@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD ALFONSO LÓPEZ,KR 70 # 90 - 13,2572526,"coordinacionalfonsolopez@metrosalud.gov.co,coordinacionsinfrontera@metrosalud.gov.co",Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD SANTA ROSA DE LIMA,KR 86 # 49 DD 31,2341136,coordinacionsantarosa@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD ESTADIO,CALLE 48 N° 73 - 10,2305815,csestadio@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD LUIS JAVIER GARCIA,CALLE 48 DD N° 99 EE 30,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD LA LOMA,_,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD VILLA LAURA,KR 105B # 34BB-80,2536459,coordinacionvillalaura@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD PALMITAS,_,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD MARGARITAS,_,_,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD EL LIMONAR,KRA 3A ESTE # 4DD 50,302 87 54,coordinacionlimonar@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD LA CRUZ,Carrera  25 # 75C-01,57(4)2148445,coordinacionlacruz@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD CAMPO VALDES,CLL 72A # 48A - 20,57(4)2132601,coordinacioncampovaldes@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD HOSPITALARIA SANTA CRUZ,KR 51 A # 100 - 80,514 68 00,direccionsantacruz@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD MANANTIAL DE VIDA,CL 57 F # 92 CC 121,3128665740,coordinacionmanantialdevida@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO DE SALUD LA ESPERANZA,KR 118 # 39 A 13,4966699,coordinacionlaesperanza@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,UNIDAD HOSPITALARIA NUEVO OCCIDENTE,KR 102 #63B -75,57(4)4259330,direccionnuevooccidente@metrosalud.gov.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,OMNISALUD # 2,KR 49 # 49 - 24,4481044,camilo.zapata@hotmail.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CLINICA COLSANITAS S.A.,CL 16 SUR # 44-08,4484121,mmesa@colsanitas.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,ORGANIZACION INDIGENA DE ANTIOQUIA,Carrera 49 # 63-57,2844845,saludoia@oia.org.co,Mixta,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CLINICA UNIVERSITARIA BOLIVARIANA,KR 72 A # 78 B 50,5744455907,clinica@upb.edu.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,ASCODES S.A.S.,CL 49B #64B - 112 CS 302,4366060,ascodes@une.net.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,ASCODESV,KR 66 # 49B 20 INT 221,2606145,ascodes@ascodes.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,COOMSOCIAL ESTADIO SEDE 3,CALLE 48 D # 67 B 27,_,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,COOMSOCIAL ESTADIO SEDE 2,Carrera 68 # 48 A - 130,_,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,BELLO,COOMSOCIAL BELLO SEDE 2,cr 51 cll 33 - 18,4448000,cms.gcalidad@coomsocial.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,COOPERATIVA DE SALUD SAN ESTEBAN,KR 131 # 62 - 28,4270016,sanestebanips@une.net.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,COOPERATIVA DE SALUD SAN ESTEBAN CTA,CALLE 49 # 81-39,4270016,sanestebanips@une.net.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA ALMACENTRO MEDELLIN,Carrera  43 a N° 34-95,3812324,ljperez@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA MONTERREY MEDELLIN,CALLE 14 N° 48-61,3126110 Ext. 116,natasigo@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA CORDOBA MEDELLIN,TV 78 # 65-417,4099550 Ext. 105,lmarcila@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA SAMAN MEDELLIN,CL 15 SUR # 48 -92,3130046,alcontreras@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA INDUSTRIALES MEDELLIN,KR 48 # 26 - 50,3506888,lcastellanos@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA CENTRO MEDELLIN,Carrera 43 # 50 - 58,3106800,paquiros@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA LOS MOLINOS MEDELLIN,KR 30A # 82 A - 26 LC 21 - 77 - 9139,3409090,gparrag@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SALUD SURA SAO PAULO MEDELLIN,KR 43 A # 18 SUR - 135 LC 2 y 3,3108880,lcastellanos@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,IPS SURA SAN DIEGO,Carrera  43 No. 30 - 28,4484772,jesalazar@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,RIONEGRO,IPS SURA RIONEGRO,KR 50 # 46-22/04,5318551,ajaramillog@sura.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CLINICA ESIMED DE LA 80,KR 80 # 18 A 140,3157231110,mjnoyp@hotmail.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,COOPERATIVA ANTIOQUEÑA DE SALUD SEDE NORTE,KR 65 # 97 - 05,4440055,juanfernando.alvarez@coopsana.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,COOPSANA CALASANZ,Carrera  80 No. 49A-68,4440055,coopsanaips@coopsana.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,COOPERATIVA ANTIOQUEÑA DE SALUD SEDE ALTERNA CENTRO,Carrera  45 N°54-39,4440055,coopsanaips@coopsana.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,Coopsana Avenida Oriental,Carrera  46 N°57-10 Tercer Piso,4440055,coopsanaips@coopsana.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CLINICA DEL PRADO CIUDAD DEL RIO,CL 19 A # 44-25,5765700,gustavorn@clinicadelprado.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,FACULTAD DE MEDICINA HOSPITAL SAN VICENTE DE PAUL,CL 64 # 51D - 154 BL 35 PEDIATRIA PI 2.5,4441333 Ext. 3320,jefepediatria@medicina.udea.edu.co,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,PROSALCO IPS SAN JUAN,CALLE 44 # 89 - 10,4445818,sanjuan@prosalcoips.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,BARBOSA,PROSALCO BARBOSA,CL 15 # 10-39,5744065452,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,DON MATÍAS,PROSALCO DON MATIAS,CL 29 # 28-55,5748663030,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MARINILLA,PROSALCO IPS SEDE MARINILLA,CALLE 27 # 28 -11 PISO 3,5745691670,gerencia@prosalcoips.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,SAN PEDRO,PROSALCO SAN PEDRO,KR 49 # 46-02,5748687581,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,"ASOCIACION PROBIENESTAR DE LA FAMILIA COLOMBIANA """" PROFAMILI""",CALLE 54 N° 43-47,_,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,APARTADÓ,PROFAMILIA APARTADO,Calle 100 N° 97-10,8280771,apartadoadm@profamilia.org.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO INTEGRAL DE SALUD ARANJUEZ,Carrera 51B # 91-95,3736955 Ext. 1628,ClaraMartinezPelaez@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO INTEGRAL DE SALUD SAN IGNACIO,CALLE 48 # 43-87,2156718 Ext. 6718,MTrujillo2@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO INTEGRAL DE SALUD MANRIQUE,Carrera 45 # 78-61,2116686 Ext. 2013,CarlosVaG@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO INTEGRAL DE SALUD LA 80,CL 47 # 80 - 05,4133691,LuzRodriguezMunoz@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,APARTADÓ,CENTRO INTEGRAL DE SALUD APARTADO,CALLE 94 N 105 - 23,8290110 Ext. 4016,sandragalarcio@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,BELLO,CENTRO INTEGRAL DE SALUD BELLO,KR 49 # 46 - 57,4523070,CGallego@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,CALDAS,CENTRO INTEGRAL DE SALUD CALDAS,CL 129 sur # 49 - 20,5742785456,NLombana@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,COPACABANA,CENTRO INTEGRAL DE SALUD COPACABANA,KR 48 # 50 - 27,4010810,JRestrepo5@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,ENVIGADO,CENTRO INTEGRAL DE SALUD ENVIGADO,CL 35 SUR # 41-51,5743324130,MGuerrero@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,GIRARDOTA,CENTRO INTEGRAL DE SALUD GIRARDOTA,CL 18 # 5A - 65,5742895388,JUribe4@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,ITAGUI,CENTRO INTEGRAL DE SALUD ITAGUI SEDE ALTERNA,CL 54 # 52 -58,3741174 - 3736955 Ext.1628,JulianaDavidAngarita@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,LA CEJA,CENTRO INTEGRAL DE SALUD LA CEJA,CL 19 # 13 B - 105,5530725 Ext. 2818,GSanchez@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,RIONEGRO,CENTRO INTEGRAL DE SALUD RIONEGRO,KR 55 A # 40 - 179,5745316088,GTorres@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,SABANETA,CENTRO INTEGRAL DE SALUD SABANETA,KR 43 A # 71 SUR 73,2880442 Ext. 1402,MarcoTobon@comfama.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,APARTADÓ,IPS UNIVERSITARIA ALFONSO LÓPEZ APARTADÓ,KR 82 B # 97-07,8283109,ipsuniversitaria@ipsuniversitaria.com.co,Mixta,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,APARTADÓ,IPS UNIVERSITARIA PUEBLO NUEVO APARTADÓ,CL 94B # 89-22,8289516,ipsuniversitaria@ipsuniversitaria.com.co,Mixta,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,E.S.E. HOSPITAL LA MARIA,CL 92EE # 67-61,2677511,_,Pública,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SERVICIOS INMUNOLOGICOS PREVINM,KR 45 # 50 - 48 CS 203,444 92 86,previnm@une.net.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CORPORACION COLOMBIA SALUDABLE,CL 62 # 50 A 31,5277540,colombia.saludable23@colombiasaludable.org,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SEDE PRADO,Carrera 46 # 61-62,2922239,corporacionipsccc@hotmail.com,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SEDE SAN JUAN,CALLE 44 # 72-61,5744116113,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SEDE SAN DIEGO,KR 48 # 37-24,5742627666,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,SEDE BOSTON,CLL 56 # 41-130,57 (8) 5131050,lbgill@comfamiliar-coodan.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,SEDE SANTA FE DE ANTIOQUIA,CL 11 # 12-24,8531747,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,APARTADÓ,SEDE LA 99,CL98 # 104-84,8289282,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,BELLO,SEDE BELLO 1,KR 50 # 46-146,5742753275,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,CAUCASIA,SEDE CAUCASIA,KR 14A # 21-15,8391050,clinica@epm.net.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,CHIGORODÓ,SEDE CHIGORODÓ 1,CL 97 # 107 - 52,8582030,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,EL BAGRE,SEDE CLÍNICA EL BAGRE,CAMPAMENTO MINEROS S.A,5748370471,lbgill@comfamiliar-coodan.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,ITAGUI,SEDE ITAGUI,KR 49 # 51 40,5743776326,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,RIONEGRO,SEDE RIONEGRO,Carrera  49 # 50-58,5620242,_,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,PREVILABOR S.A.S,KR 64 # 48 37 CS 105 106 107,5742301810,asistenciasalud@previlabor.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,CENTRO INTEGRAL DE REUMATOLOGÍA REUMALAB SAS,KR 48 # 19 A 40 CS 901,4447901,reumalab@une.net.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,MEDELLÍN,PROMEDAN IPS CENTRO,Carrera  45 No 50-63,4441117,wgiraldo@promedan.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,AMAGÁ,PROMEDAN IPS AMAGÁ,Calle 50 No. 51-47,8471268,wgiraldo@promedan.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,CAUCASIA,PROMEDAN IPS CAUCASIA,Carrera  20 No 28-24,4446395,wgiraldo@promedan.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
ANTIOQUIA,ITAGUI,PROMEDAN IPS ITAGUI,KR 49 # 45 - 35,4441117,wgiraldo@promedan.com.co,Privada,Fecha corte REPS: Feb 15 2018 11:21AM
